created_at,id,lang,text,user,source,hashtags,url
Fri Feb 23 23:21:35 +0000 2018,967177651017469952,en,RT @ElevenLabs: Creating a Revolutionary Handheld #Ultrasound Device with @clariusmhealth @VinayShankar https://t.co/wfiIRyq0vN  #health #s…,StartupBulletin,"<a href=""https://wisdomfighters.blogspot.com/"" rel=""nofollow"">Startup Bulletin</a>","['Ultrasound', 'health']","[URL(URL=https://t.co/wfiIRyq0vN, ExpandedURL=https://buff.ly/2GDD7vT)]"
Fri Feb 23 23:21:33 +0000 2018,967177642813227010,en,RT @sweetdreaming96: 10 Reasons Why Untreated #Depression is Bad for Your #Health #mentalhealth https://t.co/2qFG3MOAdc @sweetdreaming96,Giveaways4Mom,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Depression', 'Health', 'mentalhealth']","[URL(URL=https://t.co/2qFG3MOAdc, ExpandedURL=http://www.uprunforlife.com/10-reasons-untreated-depression-bad-health/)]"
Fri Feb 23 23:21:33 +0000 2018,967177642515554304,en,"RT @HealthCareGov: Would you buy a new car and never drive it? What about #health insurance? If you have it, use it! #Coverage2Care: https:…",dannyadobe,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['health', 'Coverage2Care']",[]
Fri Feb 23 23:21:12 +0000 2018,967177552019193857,en,TomTom Spark Cardio + Music Review https://t.co/eXGCRdR14t @TomTom #fitnesstech #health #review https://t.co/QObkhfqnQ7,mummydaddymia,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","['fitnesstech', 'health', 'review']","[URL(URL=https://t.co/eXGCRdR14t, ExpandedURL=https://www.beccafarrelly.co.uk/tom-tom-spark-cardio-music-review/)]"
Fri Feb 23 23:21:07 +0000 2018,967177529717960705,en,RT @sweetdreaming96: 10 Reasons Why Untreated #Depression is Bad for Your #Health #mentalhealth https://t.co/2qFG3MOAdc @sweetdreaming96,bysarahhalstead,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Depression', 'Health', 'mentalhealth']","[URL(URL=https://t.co/2qFG3MOAdc, ExpandedURL=http://www.uprunforlife.com/10-reasons-untreated-depression-bad-health/)]"
Fri Feb 23 23:21:05 +0000 2018,967177523682529280,en,Does walking help with anxiety and depression? https://t.co/XPuwdK4CSA #health #fitness https://t.co/zfgxbyezut,RoamPath,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['health', 'fitness']","[URL(URL=https://t.co/XPuwdK4CSA, ExpandedURL=https://buff.ly/2ENS0ez)]"
Fri Feb 23 23:21:03 +0000 2018,967177516787085312,en,Creating a Revolutionary Handheld #Ultrasound Device with @clariusmhealth @VinayShankar https://t.co/wfiIRyq0vN… https://t.co/qlGR51VXda,ElevenLabs,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",['Ultrasound'],"[URL(URL=https://t.co/wfiIRyq0vN, ExpandedURL=https://buff.ly/2GDD7vT), URL(URL=https://t.co/qlGR51VXda, ExpandedURL=https://twitter.com/i/web/status/967177516787085312)]"
Fri Feb 23 23:20:44 +0000 2018,967177433236451328,und,Must Read #Health #Tips: Benefits Of Alsi (Flaxseed) – अलसी से होने वाले लाभ – Health Tips  https://t.co/8S88Vqma5u… https://t.co/KdBYyxbBOX,blogspotpoint,"<a href=""http://www.wikitimes.net/"" rel=""nofollow"">wikitimes.net</a>","['Health', 'Tips']","[URL(URL=https://t.co/8S88Vqma5u, ExpandedURL=http://viralhealth.info/benefits-of-alsi-flaxseed-), URL(URL=https://t.co/KdBYyxbBOX, ExpandedURL=https://twitter.com/i/web/status/967177433236451328)]"
Fri Feb 23 23:20:42 +0000 2018,967177426982920192,en,"RT @EU_Health: #EUfunding Call for proposals for projects within the 3rd #EU #Health Programme. Priorities in 2018:

- ERNs #raredisease #E…",mennovanhilten,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['EUfunding', 'EU', 'Health', 'raredisease']",[]
Fri Feb 23 23:20:30 +0000 2018,967177376370233345,en,"Tv show from Romania with Morar. Invited Bianca with Athlete Elite Trainig Mask
https://t.co/1HjPvZus0k
Sale $38.96… https://t.co/H24Xz16VF5",AthleteElitecom,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],"[URL(URL=https://t.co/1HjPvZus0k, ExpandedURL=http://crwd.fr/2DXgN0h), URL(URL=https://t.co/H24Xz16VF5, ExpandedURL=https://twitter.com/i/web/status/967177376370233345)]"
Fri Feb 23 23:20:29 +0000 2018,967177371399872512,en,The evidence of #collaboration. Day 2 session of Tony Attwood in #brokenhill #farwestnsw #education #parents… https://t.co/YRrpJ3sxcz,BobDyson74,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['collaboration', 'brokenhill', 'farwestnsw', 'education', 'parents']","[URL(URL=https://t.co/YRrpJ3sxcz, ExpandedURL=https://twitter.com/i/web/status/967177371399872512)]"
