created_at,id,text,user,source,hashtags
Tue Mar 06 18:46:09 +0000 2018,971094602143772672,On s'amuse à la patinoire en Mieux-être 10 aujourd'hui @campbelltartans #patinage #wellness #StayActive https://t.co/cSDLznsk8L,CampbellFrYQR,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['patinage', 'wellness', 'StayActive']"
Tue Mar 06 18:33:51 +0000 2018,971091503119466498,#aromatherapy  #wellness 140ML Ultrasonic Humidifier | USB Car Humidifier | M ... https://t.co/omfa61Crsw,DiffuserSupport,"<a href=""https://diffuserhumidifierstore.com/"" rel=""nofollow"">Diffuser Humidifier</a>","['aromatherapy', 'wellness']"
Tue Mar 06 18:23:31 +0000 2018,971088904232361985,#hudsonvalley #orangecounty #life #Makeadifference #cannawetalk #repeal #decriminalize #reschedule… https://t.co/QUVEoldaWg,cannawetalk42o,"<a href=""http://www.ripl.com"" rel=""nofollow"">Ripl App</a>","['hudsonvalley', 'orangecounty', 'life', 'Makeadifference', 'cannawetalk', 'repeal', 'decriminalize', 'reschedule']"
Tue Mar 06 18:22:41 +0000 2018,971088693221122049,#mentalhealth #mentalhealthawareness #wellness #invisibleillness #recovery #mentalillness #breakthestigma #selfcare… https://t.co/2Mulkh0l8d,carimensa,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['mentalhealth', 'mentalhealthawareness', 'wellness', 'invisibleillness', 'recovery', 'mentalillness', 'breakthestigma', 'selfcare']"
Tue Mar 06 18:21:41 +0000 2018,971088444851216394,#RT #pls #follow #Beauty #Skin #beautiful #Love #Hair #giveaway #Cosmetics #antiaging #deals #hot #news #lips #cute… https://t.co/wRm1Iy3aZe,aromacreams,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['RT', 'pls', 'follow', 'Beauty', 'Skin', 'beautiful', 'Love', 'Hair', 'giveaway', 'Cosmetics', 'antiaging', 'deals', 'hot', 'news', 'lips', 'cute']"
Tue Mar 06 18:19:08 +0000 2018,971087799532310528,Uncomplicated data forever #wellness. vigrx review forum https://t.co/XZcu8uQu32,dikucosa,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",['wellness']
Tue Mar 06 18:17:42 +0000 2018,971087441967898624,"""J'ai décidé d'être heureux dans mon métier"" @Nextdoor_fr Saint-Lazare On parle du rôle essentiel Du Chief Happines… https://t.co/VDeJlAk9kR",AimanMhl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[]
Tue Mar 06 18:13:34 +0000 2018,971086399398129666,#hudsonvalley #orangecounty #life #Makeadifference #cannawetalk #repeal #decriminalize #reschedule… https://t.co/zW1Bn3i2fe,cannawetalk42o,"<a href=""http://www.ripl.com"" rel=""nofollow"">Ripl App</a>","['hudsonvalley', 'orangecounty', 'life', 'Makeadifference', 'cannawetalk', 'repeal', 'decriminalize', 'reschedule']"
Tue Mar 06 18:10:02 +0000 2018,971085512915193856,#wellness #holisticliving #motivation #after40 https://t.co/lyJloWgiCh,PraiseWorks,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['wellness', 'holisticliving', 'motivation', 'after40']"
Tue Mar 06 18:07:27 +0000 2018,971084861577539584,#Butterfly #Wisdom #Trust #Privacy #Courage #Change #Abundance #Harmony #Peace #Patience #Savor #Joy #Beauty #Love… https://t.co/qyZ32BbJB5,ContactShirin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Butterfly', 'Wisdom', 'Trust', 'Privacy', 'Courage', 'Change', 'Abundance', 'Harmony', 'Peace', 'Patience', 'Savor', 'Joy', 'Beauty', 'Love']"
Tue Mar 06 18:06:05 +0000 2018,971084518445801472,#wellness #holisticliving #motivation #after40 https://t.co/GM2cCd4cGx,WellnessWoman40,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['wellness', 'holisticliving', 'motivation', 'after40']"
Tue Mar 06 18:01:11 +0000 2018,971083285194424320,https://t.co/ngTXmiOheG #MentalHealth #Wellness #Pin https://t.co/bN7zHaBYtA,SistahHealth,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['MentalHealth', 'Wellness', 'Pin']"
Tue Mar 06 18:00:03 +0000 2018,971082997884768256,https://t.co/N6CXHsa8uE - #Empfehlung - #Produkte von #NaturaVitalis | Der #Onlineshop für Ihr #Wohlbefinden! … https://t.co/ysSEMXbtjh,duftinfo,"<a href=""https://friendsplus.me"" rel=""nofollow"">Friends Me</a>","['Empfehlung', 'Produkte', 'NaturaVitalis', 'Onlineshop', 'Wohlbefinden']"
Tue Mar 06 17:56:11 +0000 2018,971082025066262528,#reiki #tameside #wellness #chakras #mindbodyspirit https://t.co/dLCpx94z98,contactmejolie,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['reiki', 'tameside', 'wellness', 'chakras', 'mindbodyspirit']"
Tue Mar 06 17:53:45 +0000 2018,971081412563623938,"¿No has probado la experiencia de Lay-Z? ¿Qué estás esperando?
Descarga ahora la nueva App de Lay-Z o reserva en… https://t.co/wrYNJC0qu0",Lay_Z_app,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[]
Tue Mar 06 17:52:57 +0000 2018,971081210666524672,#therapy #wellness https://t.co/w8ujJRt5uL,BenCaldwellLabs,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['therapy', 'wellness']"
Tue Mar 06 17:52:52 +0000 2018,971081192073121792,@fisherworkout7 on #ReignRetreat #wellness #bodyfitness #JoyfulLeaders #MindBody #FitnessMotivation #exoticretreat https://t.co/ORSfStxGqv,amalisenanayake,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['ReignRetreat', 'wellness', 'bodyfitness', 'JoyfulLeaders', 'MindBody', 'FitnessMotivation', 'exoticretreat']"
Tue Mar 06 17:49:58 +0000 2018,971080463522529280,ReignRetreat May 2018 - exotic #retreat in Galle Sri Lanka. #wellness #health #detox #cleanse #biofeedback… https://t.co/Szg0PCFsmL,amalisenanayake,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['retreat', 'wellness', 'health', 'detox', 'cleanse', 'biofeedback']"
Tue Mar 06 17:38:14 +0000 2018,971077508673212417,@CoolSculpting at Pellé Medical Spa #Manchester #NewHampshire #medicalspa #wellness #weightloss https://t.co/24JwSOG6yl,j_angel316,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Manchester', 'NewHampshire', 'medicalspa', 'wellness', 'weightloss']"
Tue Mar 06 17:29:11 +0000 2018,971075231182925825,https://t.co/MOABQTD5G6 @SmartNonprofits @CarForNeighbors @aarpmn #Nonprofits #leadership #volunteering #Minnesota… https://t.co/aU7kWonQVM,JoeMcKenzieMN,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Nonprofits', 'leadership', 'volunteering', 'Minnesota']"
Tue Mar 06 17:28:24 +0000 2018,971075035522838528,#InterestingReads #Wellness #Health... https://t.co/Byap4xqvHO,MVVending,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['InterestingReads', 'Wellness', 'Health']"
Tue Mar 06 17:26:49 +0000 2018,971074634232795136,#F4LGYM +254723404404 #Brazilianjujitsu #bjj #mombasa #wellness #martailarts #Fitness… https://t.co/oXIJquBbPD,F4L_GYM,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['F4LGYM', 'Brazilianjujitsu', 'bjj', 'mombasa', 'wellness', 'martailarts', 'Fitness']"
Tue Mar 06 17:26:16 +0000 2018,971074496533815296,Benessere e Bellezza... E' tempo di un massaggio rilassante per ridurre lo stress e sentirsi meglio con se stessi..… https://t.co/Rs08CLbbVH,HOTELTEVINI,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[]
