created_at,id,text,user,source,hashtags
Sat Mar 03 19:59:10 +0000 2018,970025813499314177,"RT @DBakeDownBadd: Do You?
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #bodybuilding… https://t.co/F66VgAWOxl",flavolution,"<a href=""http://flaveshop.com"" rel=""nofollow"">Flav_Tweets</a>","['health', 'fitness', 'fit', 'fitnessmodel', 'fitnessaddict', 'fitspo', 'workout', 'bodybuilding']"
Sat Mar 03 19:59:08 +0000 2018,970025803105828865,Enjoy your Saturday with a smoothie and some sunshine 💛☀️😊 #Smoothie #Health #Fitness #Weekend #SunnyDay… https://t.co/O7JLmItV1z,smoothieking135,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Smoothie', 'Health', 'Fitness', 'Weekend', 'SunnyDay']"
Sat Mar 03 19:58:52 +0000 2018,970025738266030081,#Health https://t.co/oZu9r50Pa0,ybiagency,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",['Health']
Sat Mar 03 19:58:52 +0000 2018,970025736420536320,"#Get 5% - 10% discount at https://t.co/gV2gXZJbQa Use Verified Code AQU143 &amp; Save on
#Vitamins #Supplements #Beauty… https://t.co/O9AqJ5Y8Vo",00_Millionaires,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","['Get', 'Vitamins', 'Supplements', 'Beauty']"
Sat Mar 03 19:58:38 +0000 2018,970025679369789440,"""Approximately one third of people over 65 years of age are affected by disabling hearing loss. The prevalence in t… https://t.co/Wke4mPIE1h",dayoconnect,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",[]
Sat Mar 03 19:58:30 +0000 2018,970025643818745856,RT @ISGLOBALorg: Reducing #noise pollution should be a matter of public #health https://t.co/Hg3EHQe7tN #WorldHearingDay #GlobalHealth,petersiemensma,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['noise', 'health', 'WorldHearingDay', 'GlobalHealth']"
Sat Mar 03 19:58:30 +0000 2018,970025643424575488,The latest The Food Daily! https://t.co/ny4Rw5KFD3 #health,je_11_iy,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>",['health']
Sat Mar 03 19:58:30 +0000 2018,970025643390963712,"Exercise of the Day: Bosu High Plank Tilts 💪🏻
#exerciseoftheday #abs #abworkout #shape #strength #fitness #exercise… https://t.co/TF7iQcNKaF",ActLifestyleFit,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['exerciseoftheday', 'abs', 'abworkout', 'shape', 'strength', 'fitness', 'exercise']"
Sat Mar 03 19:58:28 +0000 2018,970025637317677056,"This article will be related to Session 3 of #NextGenMed in more ways than one! Read it now, then watch our spotlig… https://t.co/AHI24onDcf",ISGPforum,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",['NextGenMed']
Sat Mar 03 19:58:22 +0000 2018,970025611233189888,"Do You?
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #bodybuilding… https://t.co/F66VgAWOxl",DBakeDownBadd,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['health', 'fitness', 'fit', 'fitnessmodel', 'fitnessaddict', 'fitspo', 'workout', 'bodybuilding']"
Sat Mar 03 19:58:15 +0000 2018,970025580761665536,"#Dutch #cities made a great effort by implementing #green #technology, maintaining and expanding a #green… https://t.co/mfUgOycsWD",InnovationAgro,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Dutch', 'cities', 'green', 'technology', 'green']"
