created_at,id,text,user,source,hashtags
Mon Mar 05 23:22:06 +0000 2018,970801657712791552,"If You Want a Healthy Body, You Need to Do These Exercises https://t.co/cpHMoRq9ki via @healthonabudget #health #fitness",AmTagWrites,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'fitness']"
Mon Mar 05 23:21:56 +0000 2018,970801616503808001,The YMCA is awesome in Montclair. Want to meet the new CEO? #ymcamontclair #fitness #health... https://t.co/uRBwNsSqns,almaschneider,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['ymcamontclair', 'fitness', 'health']"
Mon Mar 05 23:21:47 +0000 2018,970801579853885441,The YMCA is awesome in Montclair. Want to meet the new CEO? #ymcamontclair #fitness #health... https://t.co/Kv7YZ8A4Wt,almaschneider,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['ymcamontclair', 'fitness', 'health']"
Mon Mar 05 23:21:38 +0000 2018,970801541245366272,The YMCA is awesome in Montclair. Want to meet the new CEO? #ymcamontclair #fitness #health... https://t.co/f0BdZdBI1a,almaschneider,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['ymcamontclair', 'fitness', 'health']"
Mon Mar 05 23:21:26 +0000 2018,970801491324821505,Is Bacteria Controlling Your Brain? https://t.co/kgbgeTBpbN #health #bacteria,AmTagWrites,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'bacteria']"
Mon Mar 05 23:21:26 +0000 2018,970801488485408769,"""#Health is a relationship between you and your body."" - https://t.co/mDCqv5VCOp #Fitspiration https://t.co/sz9IdL74ZH",hawyn01,"<a href=""http://www.edgetheory.com"" rel=""nofollow"">EdgeTheory</a>","['Health', 'Fitspiration']"
Mon Mar 05 23:21:20 +0000 2018,970801463130771456,"#Get #Active #Citizen #Action #Group #CANADA https://t.co/vAmJxGbVLt  #education
#classrooms
#teachers
#educators… https://t.co/pxDuZ1kZZy",jrlkporter2,"<a href=""http://www.ripl.com"" rel=""nofollow"">Ripl App</a>","['Get', 'Active', 'Citizen', 'Action', 'Group', 'CANADA', 'education', 'classrooms', 'teachers', 'educators']"
Mon Mar 05 23:21:13 +0000 2018,970801434500349952,The YMCA is awesome in Montclair. Want to meet the new CEO? #ymcamontclair #fitness #health... https://t.co/VMRnGe5RAI,almaschneider,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['ymcamontclair', 'fitness', 'health']"
Mon Mar 05 23:21:05 +0000 2018,970801401856053248,The YMCA is awesome in Montclair. Want to meet the new CEO? #ymcamontclair #fitness #health... https://t.co/lhsgG1EhaO,almaschneider,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['ymcamontclair', 'fitness', 'health']"
Mon Mar 05 23:21:03 +0000 2018,970801392591036418,"""Those you lead may not be willing to follow you because you have been unable to take care of yourself.""… https://t.co/JQUcu4SHLT",JosephLalonde,"<a href=""https://missinglettr.com"" rel=""nofollow"">Missinglettr</a>",[]
